Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,GDP,Status,Status_Encoded
Single,2nd phase - general contingent,5,Animation and Multimedia Design,Daytime,Secondary education,122,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th Year of Schooling,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,127,Yes,No,Yes,Male,No,20,0,0,0,0,0,0,0,0,0,0,0,1,Dropout,0
Single,International student (bachelor),1,Tourism,Daytime,Secondary education,160,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,142,Yes,No,No,Male,No,19,6,6,6,14,0,0,6,6,6,13,0,0,Un-Dropout,1
Single,1st phase - general contingent,5,Communication Design,Daytime,Secondary education,122,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,124,Yes,No,No,Male,No,19,6,0,0,0,0,0,6,0,0,0,0,1,Dropout,0
Single,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary education,122,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,119,Yes,No,Yes,Female,No,20,6,8,6,13,0,0,6,10,5,12,0,-3,Un-Dropout,1
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,100,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,141,No,No,Yes,Female,No,45,6,9,5,12,0,0,6,6,6,13,0,0,Un-Dropout,1
Married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",114,No,Yes,Yes,Male,No,50,5,10,5,11,0,0,5,17,5,11,5,0,Un-Dropout,1
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,142,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,128,Yes,No,Yes,Female,Yes,18,7,9,7,13,0,0,8,8,8,14,0,-4,Un-Dropout,1
Single,3rd phase - general contingent,4,Tourism,Daytime,Secondary education,119,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,113,Yes,No,No,Male,No,22,5,5,0,0,0,0,5,5,0,0,0,-4,Dropout,0
Single,1st phase - general contingent,3,Social Service,Daytime,Secondary education,137,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,129,No,No,Yes,Female,Yes,21,6,8,6,13,0,0,6,7,6,14,0,0,Un-Dropout,1
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,138,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",123,Yes,Yes,No,Female,No,18,6,9,5,11,0,0,6,14,2,13,0,3,Dropout,0
